admi_cty_no,admi_cty_name
41111560,파장동
41111566,율천동
41111571,정자1동
41111572,정자2동
41111573,정자3동
41111580,영화동
41111591,송죽동
41111597,조원1동
41111598,조원2동
41111600,연무동
41113520,세류1동
41113530,세류2동
41113540,세류3동
41113550,평동
41113560,서둔동
41113650,구운동
41113662,금곡동
41113664,호매실동
41113670,권선1동
41113680,권선2동
41113690,곡선동
41113700,입북동
41115650,매교동
41115660,매산동
41115670,고등동
41115680,화서1동
41115690,화서2동
41115700,지동
41115710,우만1동
41115720,우만2동
41115730,인계동
41115740,행궁동
41117510,매탄1동
41117520,매탄2동
41117530,매탄3동
41117540,매탄4동
41117550,원천동
41117570,영통1동
41117580,영통2동
41117585,영통3동
41117593,망포1동
41117596,망포2동
41117600,광교1동
41117610,광교2동
41171510,안양1동
41171520,안양2동
41171530,안양3동
41171540,안양4동
41171550,안양5동
41171560,안양6동
41171570,안양7동
41171580,안양8동
41171581,안양9동
41171590,석수1동
41171600,석수2동
41171611,충훈동
41171621,박달1동
41171630,박달2동
41173510,비산1동
41173520,비산2동
41173530,비산3동
41173540,부흥동
41173546,달안동
41173552,관양동
41173559,인덕원동
41173566,부림동
41173570,평촌동
41173576,평안동
41173578,귀인동
41173580,호계1동
41173590,호계2동
41173600,호계3동
41173610,범계동
41173620,신촌동
41173630,갈산동
41210510,광명1동
41210520,광명2동
41210540,광명3동
41210550,광명4동
41210560,광명5동
41210570,광명6동
41210580,광명7동
41210590,철산1동
41210600,철산2동
41210610,철산3동
41210620,철산4동
41210631,하안1동
41210632,하안2동
41210633,하안3동
41210634,하안4동
41210640,소하1동
41210650,소하2동
41210655,일직동
41210660,학온동
41271510,일동
41271515,이동
41271525,사동
41271532,사이동
41271537,해양동
41271540,본오1동
41271550,본오2동
41271560,본오3동
41271570,부곡동
41271580,월피동
41271590,성포동
41271600,반월동
41271610,안산동
41273510,와동
41273525,고잔동
41273532,중앙동
41273535,호수동
41273545,원곡동
41273555,백운동
41273565,신길동
41273570,초지동
41273580,선부1동
41273590,선부2동
41273600,선부3동
41273610,대부동
41290510,중앙동
41290515,원문동
41290520,갈현동
41290530,별양동
41290540,부림동
41290550,과천동
41290560,문원동
41390510,대야동
41390520,신천동
41390531,신현동
41390540,은행동
41390550,매화동
41390570,목감동
41390581,군자동
41390582,월곶동
41390589,정왕본동
41390591,정왕1동
41390592,정왕2동
41390593,정왕3동
41390594,정왕4동
41390596,배곧1동
41390597,배곧2동
41390621,과림동
41390630,연성동
41390631,장곡동
41390640,능곡동
41390650,거북섬동
41450510,천현동
41450520,신장1동
41450530,신장2동
41450540,덕풍1동
41450550,덕풍2동
41450560,덕풍3동
41450580,감북동
41450582,감일동
41450585,위례동
41450590,춘궁동
41450600,초이동
41450610,미사1동
41450620,미사2동
41450630,미사3동
41461250,포곡읍
41461253,모현읍
41461256,이동읍
41461259,남사읍
41461340,원삼면
41461350,백암면
41461360,양지면
41461510,중앙동
41461525,역북동
41461526,삼가동
41461530,유림동
41461540,동부동
41463510,신갈동
41463516,영덕1동
41463517,영덕2동
41463520,구갈동
41463530,상갈동
41463535,보라동
41463540,기흥동
41463550,서농동
41463560,구성동
41463570,마북동
41463572,동백1동
41463575,동백2동
41463577,동백3동
41463586,상하동
41463590,보정동
41465510,풍덕천1동
41465520,풍덕천2동
41465530,신봉동
41465540,죽전1동
41465550,죽전2동
41465555,죽전3동
41465560,동천동
41465570,상현1동
41465580,상현2동
41465585,상현3동
41465590,성복동
41500250,장호원읍
41500253,부발읍
41500310,신둔면
41500320,백사면
41500330,호법면
41500340,마장면
41500350,대월면
41500360,모가면
41500370,설성면
41500380,율면
41500510,창전동
41500515,증포동
41500520,중리동
41500530,관고동
41590253,봉담읍
41590256,우정읍
41590259,향남읍
41590262,남양읍
41590310,매송면
41590320,비봉면
41590330,마도면
41590340,송산면
41590350,서신면
41590360,팔탄면
41590370,장안면
41590400,양감면
41590410,정남면
41590515,새솔동
41590520,진안동
41590530,병점1동
41590540,병점2동
41590550,반월동
41590560,기배동
41590570,화산동
41590585,동탄1동
41590586,동탄2동
41590587,동탄3동
41590588,동탄4동
41590590,동탄5동
41590600,동탄6동
41590610,동탄7동
41590620,동탄8동
41590630,동탄9동
41650250,소흘읍
41650310,군내면
41650320,내촌면
41650330,가산면
41650340,신북면
41650350,창수면
41650360,영중면
41650370,일동면
41650380,이동면
41650390,영북면
41650400,관인면
41650410,화현면
41650510,포천동
41650520,선단동
