행정동코드,상권업종대분류명,store_count
41111560,과학·기술,177
41111560,교육,59
41111560,보건의료,32
41111560,부동산,51
41111560,소매,276
41111560,수리·개인,143
41111560,숙박,12
41111560,시설관리·임대,46
41111560,예술·스포츠,45
41111560,음식,297
41111566,과학·기술,123
41111566,교육,169
41111566,보건의료,38
41111566,부동산,60
41111566,소매,278
41111566,수리·개인,244
41111566,숙박,15
41111566,시설관리·임대,65
41111566,예술·스포츠,100
41111566,음식,493
41111571,과학·기술,25
41111571,교육,112
41111571,보건의료,25
41111571,부동산,36
41111571,소매,114
41111571,수리·개인,75
41111571,숙박,10
41111571,시설관리·임대,13
41111571,예술·스포츠,36
41111571,음식,176
41111572,과학·기술,73
41111572,교육,78
41111572,보건의료,34
41111572,부동산,58
41111572,소매,265
41111572,수리·개인,165
41111572,숙박,12
41111572,시설관리·임대,28
41111572,예술·스포츠,36
41111572,음식,342
41111573,과학·기술,72
41111573,교육,341
41111573,보건의료,85
41111573,부동산,48
41111573,소매,239
41111573,수리·개인,167
41111573,숙박,1
41111573,시설관리·임대,13
41111573,예술·스포츠,98
41111573,음식,338
41111580,과학·기술,108
41111580,교육,85
41111580,보건의료,35
41111580,부동산,65
41111580,소매,331
41111580,수리·개인,213
41111580,숙박,60
41111580,시설관리·임대,88
41111580,예술·스포츠,83
41111580,음식,557
41111591,과학·기술,78
41111591,교육,80
41111591,보건의료,30
41111591,부동산,32
41111591,소매,184
41111591,수리·개인,151
41111591,숙박,7
41111591,시설관리·임대,56
41111591,예술·스포츠,68
41111591,음식,360
41111597,과학·기술,67
41111597,교육,85
41111597,보건의료,21
41111597,부동산,34
41111597,소매,231
41111597,수리·개인,155
41111597,시설관리·임대,40
41111597,예술·스포츠,49
41111597,음식,255
41111598,과학·기술,20
41111598,교육,52
41111598,보건의료,40
41111598,부동산,9
41111598,소매,101
41111598,수리·개인,49
41111598,시설관리·임대,9
41111598,예술·스포츠,20
41111598,음식,81
41111600,과학·기술,45
41111600,교육,46
41111600,보건의료,23
41111600,부동산,28
41111600,소매,208
41111600,수리·개인,92
41111600,숙박,18
41111600,시설관리·임대,49
41111600,예술·스포츠,28
41111600,음식,277
41113520,과학·기술,18
41113520,교육,40
41113520,보건의료,12
41113520,부동산,32
41113520,소매,63
41113520,수리·개인,57
