행정동코드,상권업종중분류명,store_count
41111560,가구 소매,3
41111560,가전·통신 소매,9
41111560,가전제품 수리,2
41111560,가정용품 대여,4
41111560,고용 알선,6
41111560,광고,11
41111560,교육 지원,7
41111560,구내식당·뷔페,5
41111560,기술 서비스,14
41111560,기타 가정용품 수리,10
41111560,기타 간이,48
41111560,기타 개인,1
41111560,기타 교육,35
41111560,기타 보건,2
41111560,기타 사업 서비스,6
41111560,기타 상품 소매,7
41111560,기타 생활용품 소매,6
41111560,기타 숙박,2
41111560,기타 전문 과학,2
41111560,담배 소매,4
41111560,도서관·사적지,1
41111560,동남아시아,1
41111560,모터사이클 수리,1
41111560,법무관련 ,2
41111560,병원,2
41111560,본사·경영 컨설팅,57
41111560,부동산 서비스,51
41111560,비알코올 ,40
41111560,사무 지원,1
41111560,사진 촬영,4
41111560,산업용품 대여,3
41111560,서양식,6
41111560,섬유·의복·신발 소매,35
41111560,세탁,17
41111560,수의,1
41111560,스포츠 서비스,22
41111560,시계·귀금속 소매,3
41111560,시설관리,4
41111560,식료품 소매,57
41111560,식물 소매,14
41111560,안경·정밀기기 소매,2
41111560,애완동물·용품 소매,7
41111560,여행사·보조,2
41111560,연료 소매,15
41111560,오락용품 소매,15
41111560,욕탕·신체관리,1
41111560,운송장비 대여,1
41111560,유원지·오락,22
41111560,음료 소매,4
41111560,의약·화장품 소매,19
41111560,의원,28
41111560,이용·미용,70
41111560,인쇄·제품제작,11
41111560,일반 교육,17
41111560,일반 숙박,10
41111560,일식,5
41111560,자동차 부품 소매,3
41111560,자동차 수리·세차,34
41111560,장례식장 ,2
41111560,장식품 소매,6
41111560,전문 디자인,62
41111560,조경·유지,1
41111560,종합 소매,52
41111560,주점,46
41111560,중고 상품 소매,7
41111560,중식,10
41111560,철물·건설자재 소매,8
41111560,청소·방제,18
41111560,컴퓨터 수리,3
41111560,통신장비 수리,2
41111560,한식,136
41111560,회계·세무,13
41111566,가구 소매,2
41111566,가전·통신 소매,22
41111566,가전제품 수리,11
41111566,가정용품 대여,6
41111566,고용 알선,5
41111566,광고,7
41111566,교육 지원,4
41111566,구내식당·뷔페,10
41111566,기술 서비스,19
41111566,기타 가정용품 수리,17
41111566,기타 간이,105
41111566,기타 개인,1
41111566,기타 교육,86
41111566,기타 보건,3
41111566,기타 사업 서비스,8
41111566,기타 상품 소매,6
41111566,기타 생활용품 소매,11
41111566,기타 숙박,6
41111566,기타 전문 과학,5
41111566,담배 소매,3
41111566,도서관·사적지,14
41111566,동남아시아,3
41111566,법무관련 ,18
41111566,본사·경영 컨설팅,18
41111566,부동산 서비스,60
41111566,비알코올 ,77
41111566,사무 지원,3
41111566,사진 촬영,13
41111566,산업용품 대여,3
41111566,서양식,25
41111566,섬유·의복·신발 소매,24
41111566,세탁,18
41111566,수의,2
41111566,스포츠 서비스,35
41111566,시계·귀금속 소매,1
41111566,시설관리,7
41111566,식료품 소매,33
41111566,식물 소매,13
41111566,안경·정밀기기 소매,9
41111566,애완동물·용품 소매,6
41111566,여행사·보조,4
41111566,연료 소매,2
41111566,오락용품 소매,14
41111566,욕탕·신체관리,5
41111566,운송장비 대여,2
41111566,유원지·오락,51
41111566,의약·화장품 소매,24
41111566,의원,35
41111566,이용·미용,160
41111566,인쇄·제품제작,5
41111566,일반 교육,79
41111566,일반 숙박,9
41111566,일식,30
41111566,자동차 부품 소매,6
41111566,자동차 수리·세차,18
41111566,장례식장 ,2
41111566,장식품 소매,3
41111566,전문 디자인,34
41111566,조경·유지,2
41111566,종합 소매,88
41111566,주점,54
41111566,중고 상품 소매,4
41111566,중식,19
41111566,철물·건설자재 소매,7
41111566,청소·방제,25
41111566,컴퓨터 수리,9
41111566,통신장비 수리,3
41111566,한식,170
41111566,회계·세무,2
41111571,가전·통신 소매,6
41111571,가전제품 수리,2
41111571,가정용품 대여,1
41111571,고용 알선,1
41111571,광고,1
41111571,교육 지원,1
41111571,구내식당·뷔페,1
41111571,기술 서비스,3
41111571,기타 가정용품 수리,5
41111571,기타 간이,55
41111571,기타 개인,1
41111571,기타 교육,65
41111571,기타 보건,1
41111571,기타 사업 서비스,1
41111571,기타 상품 소매,2
41111571,기타 생활용품 소매,6
41111571,기타 숙박,3
41111571,도서관·사적지,9
41111571,동남아시아,1
41111571,모터사이클 수리,1
41111571,법무관련 ,2
41111571,병원,1
41111571,본사·경영 컨설팅,2
41111571,부동산 서비스,36
41111571,비알코올 ,29
41111571,사진 촬영,3
41111571,산업용품 대여,2
41111571,섬유·의복·신발 소매,19
41111571,세탁,6
41111571,수의,2
41111571,스포츠 서비스,17
41111571,시계·귀금속 소매,2
41111571,시설관리,2
41111571,식료품 소매,16
41111571,식물 소매,1
41111571,안경·정밀기기 소매,4
41111571,애완동물·용품 소매,3
41111571,여행사·보조,2
41111571,연료 소매,1
41111571,오락용품 소매,6
41111571,유원지·오락,10
41111571,의약·화장품 소매,18
41111571,의원,23
41111571,이용·미용,48
41111571,인쇄·제품제작,3
41111571,일반 교육,46
41111571,일반 숙박,7
41111571,일식,7
41111571,자동차 부품 소매,2
41111571,자동차 수리·세차,10
41111571,장식품 소매,1
41111571,전문 디자인,6
41111571,조경·유지,1
41111571,종합 소매,21
41111571,주점,25
41111571,중고 상품 소매,1
41111571,중식,2
41111571,철물·건설자재 소매,5
41111571,청소·방제,3
41111571,컴퓨터 수리,2
41111571,한식,56
41111571,회계·세무,3
41111572,가구 소매,3
41111572,가전·통신 소매,14
41111572,가전제품 수리,4
41111572,가정용품 대여,2
41111572,고용 알선,8
41111572,광고,12
41111572,교육 지원,8
41111572,기술 서비스,9
41111572,기타 가정용품 수리,16
41111572,기타 간이,87
41111572,기타 교육,39
41111572,기타 사업 서비스,6
41111572,기타 상품 소매,10
41111572,기타 생활용품 소매,11
41111572,기타 숙박,1
41111572,담배 소매,1
41111572,도서관·사적지,5
41111572,동남아시아,3
41111572,모터사이클 수리,1
41111572,법무관련 ,10
41111572,병원,4
41111572,본사·경영 컨설팅,6
41111572,부동산 서비스,58
41111572,비알코올 ,57
41111572,사진 촬영,3
41111572,산업용품 대여,1
41111572,서양식,21
41111572,섬유·의복·신발 소매,34
41111572,세탁,16
41111572,수의,3
41111572,스포츠 서비스,14
41111572,시계·귀금속 소매,3
41111572,식료품 소매,53
41111572,식물 소매,5
41111572,안경·정밀기기 소매,8
41111572,애완동물·용품 소매,4
41111572,연료 소매,1
41111572,오락용품 소매,11
41111572,욕탕·신체관리,2
41111572,유원지·오락,17
41111572,의약·화장품 소매,30
41111572,의원,30
41111572,이용·미용,95
41111572,인쇄·제품제작,7
41111572,일반 교육,31
41111572,일반 숙박,11
41111572,일식,10
41111572,자동차 부품 소매,2
41111572,자동차 수리·세차,23
41111572,장식품 소매,2
41111572,전문 디자인,21
41111572,조경·유지,1
41111572,종합 소매,59
41111572,주점,14
41111572,중고 상품 소매,6
41111572,중식,13
41111572,철물·건설자재 소매,8
41111572,청소·방제,10
41111572,컴퓨터 수리,6
41111572,통신장비 수리,2
41111572,한식,137
41111572,회계·세무,2
41111573,가구 소매,2
41111573,가전·통신 소매,15
41111573,가전제품 수리,5
41111573,가정용품 대여,1
41111573,광고,2
41111573,교육 지원,7
41111573,구내식당·뷔페,7
41111573,기술 서비스,4
41111573,기타 가정용품 수리,5
41111573,기타 간이,105
41111573,기타 교육,127
41111573,기타 보건,5
41111573,기타 사업 서비스,3
41111573,기타 상품 소매,10
41111573,기타 생활용품 소매,6
41111573,기타 숙박,1
41111573,담배 소매,1
41111573,도서관·사적지,27
41111573,동남아시아,6
41111573,법무관련 ,19
41111573,병원,2
41111573,본사·경영 컨설팅,4
41111573,부동산 서비스,48
41111573,비알코올 ,54
41111573,사진 촬영,11
41111573,산업용품 대여,1
41111573,서양식,8
41111573,섬유·의복·신발 소매,30
41111573,세탁,15
41111573,수의,7
41111573,스포츠 서비스,50
41111573,시계·귀금속 소매,7
41111573,시설관리,1
41111573,식료품 소매,31
41111573,식물 소매,8
41111573,안경·정밀기기 소매,10
41111573,애완동물·용품 소매,5
41111573,여행사·보조,2
41111573,연료 소매,3
41111573,오락용품 소매,18
41111573,욕탕·신체관리,2
41111573,운송장비 대여,1
41111573,유원지·오락,21
41111573,음료 소매,1
41111573,의약·화장품 소매,43
41111573,의원,78
41111573,이용·미용,112
41111573,인쇄·제품제작,1
41111573,일반 교육,207
41111573,일식,18
41111573,자동차 수리·세차,24
41111573,장식품 소매,1
41111573,전문 디자인,19
41111573,종합 소매,46
